,Player,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK,PER,WS,BPM,height,weight
2,Jaden Akins,FR,G,Michigan State,36,532,85,25,22,9,24,45,122,.394,.407,.380,.607,3.4,2.4,0.7,0.6,0.3,10.8,1.0,3.2,6-4,180
3,Eduardo Andre,FR,C,Nebraska,30,345,96,9,17,16,33,63,94,.571,.581,.000,.524,3.1,3.2,0.3,0.6,0.5,12.7,0.5,-1.4,6-10,228
8,Isaiah Barnes,FR,G,Michigan,2,6,1,0,0,0,0,0,0,,,,,0.0,0.5,0.0,0.0,0.0,2.8,0.0,0.1,6-7,185
9,Brooks Barnhizer,FR,G,Northwestern,11,82,8,11,6,3,3,5,19,.231,.267,.182,.833,1.7,0.7,1.0,0.5,0.3,11.3,0.1,-0.3,6-6,215
10,Carson Barrett,SO,G,Purdue,9,19,6,1,0,0,4,2,4,.250,.400,.000,.000,0.4,0.7,0.1,0.0,0.0,-8.3,-0.1,-22.5,6-5,215
11,Tamar Bates,FR,G,Indiana,32,465,40,20,8,4,22,31,125,.338,.370,.298,.833,3.9,1.3,0.6,0.3,0.1,6.6,0.5,-0.8,6-5,193
14,Ty Berry,SO,G,Northwestern,31,686,70,34,21,4,21,59,230,.388,.387,.388,.667,7.4,2.3,1.1,0.7,0.1,11.8,1.6,0.9,6-2,190
17,Benjamin Bosmans-Verdonk,SO,F,Illinois,24,187,51,15,7,0,5,33,39,.472,.472,,.294,1.6,2.1,0.6,0.3,0.0,13.9,0.6,3.2,6-8,235
18,Malaki Branham,FR,G,Ohio State,32,948,114,64,23,9,54,56,437,.498,.530,.416,.833,13.7,3.6,2.0,0.7,0.3,20.4,3.6,5.7,6-5,180
19,Wilhelm Breidenbach,FR,F,Nebraska,10,157,27,6,10,6,7,33,37,.359,.579,.150,.500,3.7,2.7,0.6,1.0,0.6,8.9,0.1,-2.0,6-10,227
21,Pierre Brooks,FR,G,Michigan State,25,93,12,4,0,0,7,0,23,.300,.444,.182,.692,0.9,0.5,0.2,0.0,0.0,5.4,0.0,-3.5,6-6,225
24,Kobe Bufkin,FR,G,Michigan,28,298,32,8,11,3,15,24,85,.380,.512,.222,.773,3.0,1.1,0.3,0.4,0.1,9.4,0.4,0.6,6-4,175
26,Ian Burns,,G,Michigan,2,3,0,1,0,0,0,0,0,.000,,.000,,0.0,0.0,0.5,0.0,0.0,-1.7,0.0,-11.1,6-6,200
27,Ben Carlson,SO,F,Wisconsin,32,292,65,4,2,1,10,17,52,.333,.467,.048,.538,1.6,2.0,0.1,0.1,0.0,6.5,0.2,-1.9,6-9,218
28,Maliq Carr,,G,Michigan State,1,1,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,6-5,245
30,Max Christie,FR,G,Michigan State,35,1078,121,51,18,17,52,39,324,.382,.429,.317,.824,9.3,3.5,1.5,0.5,0.5,10.5,1.7,1.9,6-6,190
31,Andy Christos,,G,Penn State,4,9,1,0,0,0,0,1,0,.000,,.000,,0.0,0.3,0.0,0.0,0.0,-5.6,0.0,-12.7,6-5,175
33,Keon Coleman,,F,Michigan State,6,10,1,0,3,0,3,0,5,.400,.333,.500,,0.8,0.2,0.0,0.5,0.0,17.1,0.0,7.8,6-4,210
34,Frankie Collins,FR,G,Michigan,31,340,53,43,12,2,35,35,88,.427,.500,.167,.441,2.8,1.7,1.4,0.4,0.1,8.7,0.2,-0.2,6-1,185
37,Jackson Cronin,FR,G,Nebraska,12,15,1,0,0,0,0,0,7,.600,.500,1.000,.000,0.6,0.1,0.0,0.0,0.0,15.9,0.0,0.5,6-1,187
38,Steven Crowl,SO,F,Wisconsin,33,836,144,48,9,9,31,84,290,.496,.595,.317,.800,8.8,4.4,1.5,0.3,0.3,16.5,3.0,5.0,7-0,217
39,Andre Curbelo,SO,G,Illinois,19,367,58,60,14,2,53,44,142,.329,.374,.176,.745,7.5,3.1,3.2,0.7,0.1,8.6,0.2,-1.7,6-1,175
