

,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced
Rk,Player,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK,PER,WS,BPM
1,Ralph Agee\ralph-agee-1,SR,F,Rutgers,17,123,18,4,2,2,9,13,33,.462,.462,,.643,1.9,1.1,0.2,0.1,0.1,9.3,0.2,-3.3
2,Justin Ahrens\justin-ahrens-1,SR,F,Ohio State,32,644,75,26,9,1,22,42,155,.346,.167,.354,.750,4.8,2.3,0.8,0.3,0.0,8.8,1.1,1.3
3,Jaden Akins\jaden-akins-1,FR,G,Michigan State,36,532,85,25,22,9,24,45,122,.394,.407,.380,.607,3.4,2.4,0.7,0.6,0.3,10.8,1.0,3.2
4,Eduardo Andre\eduardo-andre-1,FR,C,Nebraska,30,345,96,9,17,16,33,63,94,.571,.581,.000,.524,3.1,3.2,0.3,0.6,0.5,12.7,0.5,-1.4
5,Austin Ash\austin-ash-1,SR,G,Iowa,18,79,10,11,0,0,6,5,52,.436,.692,.308,.714,2.9,0.6,0.6,0.0,0.0,23.7,0.4,1.9
6,Chase Audige\chase-audige-1,JR,G,Northwestern,24,644,101,46,42,8,32,63,236,.338,.401,.250,.717,9.8,4.2,1.9,1.8,0.3,13.0,1.1,1.9
7,Eric Ayala\eric-ayala-1,SR,G,Maryland,31,1034,144,65,24,4,60,39,455,.383,.436,.339,.688,14.7,4.6,2.1,0.8,0.1,15.1,2.1,2.8
8,Geo Baker\geo-baker-1,SR,G,Rutgers,28,963,60,108,33,12,45,43,354,.398,.459,.331,.741,12.6,2.1,3.9,1.2,0.4,15.2,2.4,3.8
9,Isaiah Barnes\isaiah-barnes-1,FR,G,Michigan,2,6,1,0,0,0,0,0,0,,,,,0.0,0.5,0.0,0.0,0.0,2.8,0.0,0.1
10,Brooks Barnhizer\brooks-barnhizer-1,FR,G,Northwestern,11,82,8,11,6,3,3,5,19,.231,.267,.182,.833,1.7,0.7,1.0,0.5,0.3,11.3,0.1,-0.3
11,Carson Barrett\carson-barrett-1,SO,G,Purdue,9,19,6,1,0,0,4,2,4,.250,.400,.000,.000,0.4,0.7,0.1,0.0,0.0,-8.3,-0.1,-22.5
12,Tamar Bates\tamar-bates-1,FR,G,Indiana,32,465,40,20,8,4,22,31,125,.338,.370,.298,.833,3.9,1.3,0.6,0.3,0.1,6.6,0.5,-0.8
13,Jamison Battle\jamison-battle-1,JR,F,Minnesota,29,1064,183,28,11,12,39,54,507,.450,.534,.366,.759,17.5,6.3,1.0,0.4,0.4,18.3,2.8,3.6
14,Robbie Beran\robbie-beran-1,JR,F,Northwestern,31,680,132,20,21,23,21,75,197,.468,.581,.366,.750,6.4,4.3,0.6,0.7,0.7,14.5,2.1,2.4
15,Ty Berry\ty-berry-1,SO,G,Northwestern,31,686,70,34,21,4,21,59,230,.388,.387,.388,.667,7.4,2.3,1.1,0.7,0.1,11.8,1.6,0.9
16,Marcus Bingham\marcus-bingham-1,SR,F,Michigan State,35,655,219,9,32,77,42,70,325,.534,.559,.415,.747,9.3,6.3,0.3,0.9,2.2,28.7,3.3,10.3
17,Jordan Bohannon\jordan-bohannon-1,SR,G,Iowa,36,968,48,65,27,0,32,48,395,.385,.396,.382,.889,11.0,1.3,1.8,0.8,0.0,15.6,3.4,4.5
18,Benjamin Bosmans-Verdonk\benjamin-bosmans-verdonk-1,SO,F,Illinois,24,187,51,15,7,0,5,33,39,.472,.472,,.294,1.6,2.1,0.6,0.3,0.0,13.9,0.6,3.2
19,Lorne Bowman\lorne-bowmanii-1,FR,G,Wisconsin,22,228,24,11,6,0,13,24,66,.344,.290,.400,.480,3.0,1.1,0.5,0.3,0.0,7.1,0.2,-0.7
20,Malaki Branham\malaki-branham-1,FR,G,Ohio State,32,948,114,64,23,9,54,56,437,.498,.530,.416,.833,13.7,3.6,2.0,0.7,0.3,20.4,3.6,5.7
21,Wilhelm Breidenbach\wilhelm-breidenbach-1,FR,F,Nebraska,10,157,27,6,10,6,7,33,37,.359,.579,.150,.500,3.7,2.7,0.6,1.0,0.6,8.9,0.1,-2.0
22,Eli Brooks\eli-brooks-1,SR,G,Michigan,34,1223,126,100,40,4,49,42,435,.444,.478,.394,.877,12.8,3.7,2.9,1.2,0.1,16.4,3.9,6.2
23,Pierre Brooks\pierre-brooks-1,FR,G,Michigan State,25,93,12,4,0,0,7,0,23,.300,.444,.182,.692,0.9,0.5,0.2,0.0,0.0,5.4,0.0,-3.5
24,Eugene Brown\eugene-browniii-1,SO,G,Ohio State,26,441,63,14,5,7,14,42,90,.442,.619,.229,.609,3.5,2.4,0.5,0.2,0.3,9.1,0.8,1.9
25,Gabe Brown\gabe-brown-2,SR,F,Michigan State,36,1039,137,41,25,10,36,57,418,.428,.490,.382,.894,11.6,3.8,1.1,0.7,0.3,16.2,3.3,5.3
26,Joey Brunk\joey-brunk-1,SR,F,Ohio State,28,214,45,6,6,6,10,28,68,.630,.630,,.769,2.4,1.6,0.2,0.2,0.2,16.9,0.7,3.3
27,Kobe Bufkin\kobe-bufkin-1,FR,G,Michigan,28,298,32,8,11,3,15,24,85,.380,.512,.222,.773,3.0,1.1,0.3,0.4,0.1,9.4,0.4,0.6
28,Boo Buie\boo-buie-1,JR,G,Northwestern,31,914,78,134,24,3,58,58,436,.397,.450,.341,.796,14.1,2.5,4.3,0.8,0.1,17.8,2.8,3.6
29,Ian Burns\ian-burns-3,,G,Michigan,2,3,0,1,0,0,0,0,0,.000,,.000,,0.0,0.0,0.5,0.0,0.0,-1.7,0.0,-11.1
30,Ben Carlson\ben-carlson-1,SO,F,Wisconsin,32,292,65,4,2,1,10,17,52,.333,.467,.048,.538,1.6,2.0,0.1,0.1,0.0,6.5,0.2,-1.9
31,Maliq Carr\maliq-carr-1,,G,Michigan State,1,1,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2
32,Nathan Childress\nathan-childress-1,JR,F,Indiana,3,11,5,0,0,0,1,1,3,.500,.000,1.000,,1.0,1.7,0.0,0.0,0.0,10.9,0.0,3.3
33,Max Christie\max-christie-1,FR,G,Michigan State,35,1078,121,51,18,17,52,39,324,.382,.429,.317,.824,9.3,3.5,1.5,0.5,0.5,10.5,1.7,1.9
34,Andy Christos\andy-christos-1,,G,Penn State,4,9,1,0,0,0,0,1,0,.000,,.000,,0.0,0.3,0.0,0.0,0.0,-5.6,0.0,-12.7
35,Kofi Cockburn\kofi-cockburn-1,JR,C,Illinois,28,859,296,22,23,27,65,67,585,.593,.593,,.655,20.9,10.6,0.8,0.8,1.0,32.1,5.3,9.3
36,Keon Coleman\keon-coleman-1,,F,Michigan State,6,10,1,0,3,0,3,0,5,.400,.333,.500,,0.8,0.2,0.0,0.5,0.0,17.1,0.0,7.8
37,Frankie Collins\frankie-collins-1,FR,G,Michigan,31,340,53,43,12,2,35,35,88,.427,.500,.167,.441,2.8,1.7,1.4,0.4,0.1,8.7,0.2,-0.2
38,Dan Conlan\dan-conlan-1,JR,G,Penn State,3,4,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.4
39,Jaheam Cornwall\jaheam-cornwall-1,SR,G,Penn State,25,395,23,16,6,2,19,20,59,.237,.381,.182,.813,2.4,0.9,0.6,0.2,0.1,1.2,-0.2,-4.4
40,Jackson Cronin\jackson-cronin-1,FR,G,Nebraska,12,15,1,0,0,0,0,0,7,.600,.500,1.000,.000,0.6,0.1,0.0,0.0,0.0,15.9,0.0,0.5
41,Steven Crowl\steven-crowl-1,SO,F,Wisconsin,33,836,144,48,9,9,31,84,290,.496,.595,.317,.800,8.8,4.4,1.5,0.3,0.3,16.5,3.0,5.0
42,Andre Curbelo\andre-curbelo-1,SO,G,Illinois,19,367,58,60,14,2,53,44,142,.329,.374,.176,.745,7.5,3.1,3.2,0.7,0.1,8.6,0.2,-1.7
43,Eric Curry\eric-curry-1,SR,F,Minnesota,26,720,150,50,23,19,32,66,200,.412,.433,.083,.714,7.7,5.8,1.9,0.9,0.7,13.5,1.2,1.2
44,Charlie Daniels\charlie-daniels-1,SR,F,Minnesota,29,328,53,23,10,16,21,51,43,.432,.442,.000,.625,1.5,1.8,0.8,0.3,0.6,8.4,0.4,-0.6
45,Johnny Davis\jonathan-davis-3,SO,G,Wisconsin,31,1060,255,66,36,23,71,63,612,.427,.466,.306,.791,19.7,8.2,2.1,1.2,0.7,24.3,4.5,8.9
46,Jordan Davis\jordan-davis-24,SO,G,Wisconsin,27,175,24,4,4,3,6,19,35,.325,.417,.286,.333,1.3,0.9,0.1,0.1,0.1,6.7,0.2,0.4
47,Brad Davison\brad-davison-1,SR,G,Wisconsin,33,1136,132,69,28,0,29,79,464,.384,.445,.347,.864,14.1,4.0,2.1,0.8,0.0,16.9,4.4,6.0
48,Moussa Diabate\moussa-diabate-1,FR,F,Michigan,32,796,191,26,11,28,47,86,289,.542,.564,.214,.619,9.0,6.0,0.8,0.3,0.9,17.6,2.5,2.8
