,url,name,active_from,active_to,position,college,height,weight,birth_date,NBA__3ptapg,NBA__3ptpct,NBA__3ptpg,NBA_efgpct,NBA_fg%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft%,NBA_ft_per_g,NBA_fta_p_g,NBA_g_played,NBA_ppg,NCAA__3ptapg,NCAA__3ptpct,NCAA__3ptpg,NCAA_efgpct,NCAA_fgapg,NCAA_fgpct,NCAA_fgpg,NCAA_ft,NCAA_ftapg,NCAA_ftpg,NCAA_games,NCAA_ppg
0,/players/a/abrinal01.html,Álex Abrines,2017,2019,G-F,,6-6,200,"August 1, 1993",3.4,.368,1.3,.525,.387,1.8,4.5,.880,0.5,0.6,174,5.3,,,,,,,,,,,,
1,/players/a/achiupr01.html,Precious Achiuwa,2021,2022,F,Memphis,6-8,225,"September 19, 1999",1.1,.355,0.4,.501,.470,2.9,6.1,.550,1.0,1.8,130,7.1,1.3,.325,0.4,,11.9,.493,5.9,.599,6.0,3.6,31,15.8
2,/players/a/ackeral01.html,Alex Acker,2006,2009,G,Pepperdine,6-5,185,"January 21, 1983",0.8,.320,0.3,.413,.370,1.1,3.1,.500,0.2,0.3,30,2.7,3.3,.411,1.4,,11.2,.457,5.1,.823,3.5,2.9,88,14.5
3,/players/a/acyqu01.html,Quincy Acy,2013,2019,F-C,Baylor,6-7,240,"October 6, 1990",1.6,.350,0.5,.513,.444,1.7,3.9,.759,0.9,1.1,337,4.9,0.1,.429,0.0,,6.0,.602,3.6,.708,3.6,2.5,139,9.8
4,/players/a/adamsha01.html,Hassan Adams,2007,2009,G,Arizona,6-4,220,"June 20, 1984",0.0,.000,0.0,.534,.534,1.1,2.0,.643,0.4,0.6,73,2.5,1.9,.311,0.6,,11.6,.499,5.8,.704,2.7,1.9,130,14.0
5,/players/a/adamsja01.html,Jaylen Adams,2019,2021,G,St. Bonaventure,6-0,225,"May 4, 1996",1.9,.329,0.6,.436,.331,1.0,2.9,.778,0.2,0.2,41,2.7,6.2,.394,2.5,,11.3,.427,4.8,.838,6.3,5.3,110,17.4
6,/players/a/adamsjo01.html,Jordan Adams,2015,2016,G,UCLA,6-5,209,"July 8, 1994",0.8,.385,0.3,.457,.402,1.2,2.9,.607,0.5,0.9,32,3.2,4.3,.331,1.4,,11.6,.467,5.4,.839,5.0,4.2,69,16.4
7,/players/a/adamsst01.html,Steven Adams,2014,2022,C,Pitt,6-11,265,"July 20, 1993",0.0,.071,0.0,.587,.587,3.9,6.6,.549,1.6,2.9,661,9.3,0.0,,0.0,,5.5,.571,3.1,.443,2.2,1.0,32,7.2
8,/players/a/adebaba01.html,Bam Adebayo,2018,2022,C-F,Kentucky,6-9,255,"July 18, 1997",0.1,.140,0.0,.559,.558,5.1,9.2,.740,3.2,4.3,341,13.4,0.0,,0.0,,7.5,.599,4.5,.653,6.2,4.1,38,13.0
9,/players/a/adelde01.html,Deng Adel,2019,2019,F,Louisville,6-7,200,"February 1, 1997",1.2,.261,0.3,.389,.306,0.6,1.9,1.000,0.2,0.2,19,1.7,3.3,.348,1.1,,9.0,.438,3.9,.776,2.9,2.2,89,11.2
10,/players/a/adrieje01.html,Jeff Adrien,2011,2015,F,UConn,6-7,245,"February 10, 1986",0.0,.000,0.0,.474,.474,1.7,3.6,.628,1.2,1.9,153,4.6,0.0,.333,0.0,,8.8,.515,4.5,.606,4.9,3.0,133,12.1
11,/players/a/afflaar01.html,Arron Afflalo,2008,2018,G-F,UCLA,6-5,210,"October 15, 1985",2.9,.386,1.1,.514,.450,3.9,8.7,.825,1.8,2.2,762,10.8,5.4,.373,2.0,,10.9,.457,5.0,.781,3.6,2.8,104,14.8
12,/players/a/agerma01.html,Maurice Ager,2007,2011,G,Michigan State,6-5,202,"February 9, 1984",0.5,.250,0.1,.368,.339,0.8,2.3,.566,0.4,0.6,82,2.1,4.3,.380,1.6,,9.6,.441,4.2,.775,3.2,2.5,124,12.5
13,/players/a/ahearbl01.html,Blake Ahearn,2008,2012,G,Missouri State,6-2,190,"May 27, 1984",2.5,.298,0.7,.364,.273,1.1,4.1,.970,1.7,1.7,19,4.6,5.2,.408,2.1,,8.9,.423,3.7,.946,3.6,3.4,129,13.0
14,/players/a/ajincal01.html,Alexis Ajinça,2009,2017,C-F,,7-2,248,"May 6, 1988",0.1,.286,0.0,.507,.503,2.2,4.4,.797,0.9,1.1,293,5.3,,,,,,,,,,,,
